sample	subsample	rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Yale-TB160	1.0	NC_000962.3	1	4411532	17706088	3875119	87.8407	518.699	39.5	60
Yale-TB161	1.0	NC_000962.3	1	4411532	23307331	4314223	97.7942	698.17	39.5	60
Yale-TB162	1.0	NC_000962.3	1	4411532	12931029	4246912	96.2684	383.064	39.5	60
Yale-TB163	1.0	NC_000962.3	1	4411532	24006624	4325745	98.0554	709.005	39.5	60
Yale-TB164	1.0	NC_000962.3	1	4411532	12477026	4299053	97.4503	369.242	39.5	60
Yale-TB165	1.0	NC_000962.3	1	4411532	5687659	1485013	33.6621	161.01	39.6	60
Yale-TB166	1.0	NC_000962.3	1	4411532	564341	3478380	78.8474	14.861	39.6	60
Yale-TB167	1.0	NC_000962.3	1	4411532	22396761	4250606	96.3522	663.858	39.5	60
Yale-TB168	1.0	NC_000962.3	1	4411532	17533361	4290903	97.2656	519.974	39.5	60
Yale-TB169	1.0	NC_000962.3	1	4411532	9460128	4268024	96.747	281.698	39.5	60
Yale-TB170	1.0	NC_000962.3	1	4411532	21871679	4317989	97.8796	650.246	39.5	60
Yale-TB171	1.0	NC_000962.3	1	4411532	35475733	4330633	98.1662	1057.5	39.5	60
Yale-TB172	1.0	NC_000962.3	1	4411532	8582413	3876601	87.8743	248.457	39.5	60
Yale-TB173	1.0	NC_000962.3	1	4411532	7179363	2515091	57.0117	196.008	39.6	60
Yale-TB174	1.0	NC_000962.3	1	4411532	7746608	4284595	97.1226	229.292	39.5	60
Yale-TB175	1.0	NC_000962.3	1	4411532	7083106	1491694	33.8135	193.787	39.6	60
Yale-TB176	1.0	NC_000962.3	1	4411532	515535	2921788	66.2307	13.4572	39.6	60
Yale-TB177	1.0	NC_000962.3	1	4411532	867329	2571482	58.29	22.3966	39.5	60
Yale-TB178	1.0	NC_000962.3	1	4411532	27341768	4305933	97.6063	811.033	39.5	60
Yale-TB179	1.0	NC_000962.3	1	4411532	12772952	2429093	55.0623	361.425	39.6	60
Yale-TB180	1.0	NC_000962.3	1	4411532	176	2695	0.0610899	0.00447736	39.5	60
